,death_prob,rep_prob,cancer_prob,guide,init_cells,run,before,after,nj,cassiopeia,reassign_delta,nj_delta
169,0.1,0.9,0.01,mmm,1,2,0.965,0.961,0.965,0.6543062200956937,-0.0040000000000000036,0.0040000000000000036
170,0.1,0.9,0.01,mmf,1,0,0.966,0.923,0.912,0.6432360742705571,-0.04299999999999993,-0.01100000000000001
171,0.1,0.9,0.01,mmf,1,1,0.946,0.866,0.874,0.7419354838709677,-0.07999999999999996,0.008000000000000007
172,0.1,0.9,0.01,mmf,1,2,0.942,0.947,0.96,0.9548780487804878,0.0050000000000000044,0.013000000000000012
173,0.1,0.9,0.01,mff,1,0,0.963,0.988,0.994,0.6741379310344827,0.025000000000000022,0.006000000000000005
174,0.1,0.9,0.01,mff,1,1,0.978,1.0,0.999,0.9943100995732574,0.02200000000000002,-0.0010000000000000009
175,0.1,0.9,0.01,mff,1,2,0.946,0.94,0.942,0.9671232876712329,-0.006000000000000005,0.0020000000000000018
176,0.1,0.9,0.01,fff,1,0,0.99,0.891,0.921,0.9295774647887324,-0.09899999999999998,0.030000000000000027
177,0.1,0.9,0.01,fff,1,1,0.831,0.846,0.841,0.9852579852579852,0.015000000000000013,-0.0050000000000000044
178,0.1,0.9,0.01,fff,1,2,0.952,0.855,0.851,0.892128279883382,-0.09699999999999998,-0.0040000000000000036
